Ni moja djevojka nije bila baš oduševljena jer je film imao element jednog od njezinih najvećih strahova, morskih pasa.	neg
U svakom slučaju, odmah je zažalila i nastavila vrištati na mene kad god bi se pojavili u filmu.	neg
Što je očito bila jedna od glavnih atrakcija ovdje.	neut
I ako je ideja bila oduševiti publiku, mislim da je bila prilično uspješna.	poz
Međutim, ponekad smo bili malo živcirani s likovima jer su znali biti malo iritantni svojim ponašanjem.	neg
Ali ono zbog čega nisam bio zadovoljan je nekoliko nelogičnih dijelova, posebno pred kraj.	neg
Iako obično nismo marili za takve stvari u filmu, bilo je to malo teško ignorirati jer je bilo previše očito.	neg
Postojala je i jedna scena za koju mislim da se nije trebala dogoditi, a koja je uključivala Rosu nakon velikog događaja.	neg
Kada sam prvi put vidio trailer za ovaj film, prepoznao sam samo jednu osobu, tj. Colma Meaneya kojeg sam vidio nekoliko puta.	neut
Ali nakon što je pogledala film i provjerila na internetu, moja djevojka je shvatila da je Phyllis Logan ta koja je glumila gospođu Hughes u poznatoj seriji Downton Abbey.	neut
Ostatak glumačke ekipe nije nam bio poznat.	neut
Sam film je režirao Claudio Fäh čije su zasluge uglavnom bili direktni filmovi kao što su Hollow Man 2, Sniper: Reloaded tako da nije baš imao iskustvo snimanja blockbuster filmova.	neut
Iako ovaj nije spadao u kategoriju.	neut
Za akcijski triler preživljavanja, mislim da je ovaj bio dovoljno dobar u smislu pružanja intenzivnih i napetih trenutaka.	poz
Bilo je i scena skoka koji su bili prilično efektni jer sam bio prilično iznenađen. 	poz
U ovakvom filmu ne bi ostavio dobar dojam bez emotivnog momenta.	neut
A ovaj nije bio iznimka jer je imao jedan koji je bio prilično dirljiv.	poz
Sve u svemu, to je bio OK film.	poz
Uživali smo u uzbudljivim trenucima, a specijalni efekti bili su zapravo prilično pristojni. 	poz
Ali nekoliko tih nelogičnih dijelova i nedostatak stvarno zadivljujućih likova učinili su ga manje dojmljivim.	neg
Svidjeli su nam se intenzitet i zvučni efekti jer su dodali element neizvjesnosti.	poz
Trajao je samo 90 minuta (bez odjavnih scena u sredini ili na kraju) što je bilo lijepo za ovakvu vrstu filma.	poz
Dakle, ako ste zainteresirani za gledanje neke napete triler drame o preživljavanju koja uključuje morske pse, onda bi vas ovo zadovoljilo.	poz
Ali ako očekujete nešto veliko, onda to ovdje nećete pronaći.	neg
Bilo je smiješno kako me priča malo podsjetila na jedan drugi južnokorejski film u kojem je također ostao stan nakon jakog potresa pod nazivom Concrete Utopia.	neut
Očigledno nakon što sam pročitao na internetu, ovo je doista bio nastavak tog filma, iako mislim da je ovo bio samostalan jer se ovdje nisu pojavili likovi iz originalnog filma.	neut
U svakom slučaju, film je počeo prilično vedro s malo pozadine o Doktoru i nekim lakšim trenucima kada su predstavljeni Nam-san i Ji-wan.	poz
Ali uzbudljivi trenuci su došli kada je Nam-san počeo pokazivati svoje nevjerojatne borilačke vještine.	poz
Koristeći svoje krupno tijelo i očiglednu snagu, uspio je s lakoćom izbaciti negativce.	neut
Nakon toga, zaplet je postao prilično standardan i odmah sam mogao vidjeti kamo ide.	mix
Ipak, uz povremene akcijske sekvence s vremena na vrijeme, u kombinaciji s neočekivanim sposobnostima neprijatelja učinili su ih vrlo zabavnima.	poz
Za razliku od svog prethodnika, ovaj se film više fokusirao na akciju nego na dramu.	neut
Nisam siguran kako bi ljudi gledali na to, ali ja sam osobno jako uživao jer sam veliki obožavatelj akcijskih filmova.	poz
Posebno s Ma Dong-seokom koji je uvijek pokazivao svoje nevjerojatne borbene sposobnosti zadovoljavajuće za nas koji volimo akcije.	poz
Iako je prikazano da je njegov lik sličan njegovim drugim filmovima, dobrodušni veliki tip koji se nikada nije bojao suočiti s mnogo ljudi sam i ponekad je pružao malo humora.	poz
Ali ona koja me se dojmila bila je An Ji-hye svojom izvanrednom borilačkom vještinom.	poz
Pročitao sam da je 99% sama odradila štos što me još više zadivilo.	poz
Osim toga, tu su bili sporedni likovi poput narednika Kwona (Park Ji-hoon – TV serija Najgori od zla itd.), Tigra (Park Hyo-joon – Loši momci: Vladavina kaosa itd.), učitelja (Jang Young-nam – Povjerljivo Zadatak, TV serija Captivating the King itd.), dama s nakitom (Jung Young-joo – Cafe Midnight, TV serija A Good Day to be a Dog itd.) koja je pružala humor.	neut
Tijekom uvodne i završne špice, ja osobno nisam mogao vidjeti nikakve korisne informacije jer su gotovo sve bile na korejskom jeziku.	neg
Uopće nije bilo središnjih ili završnih odjavnih scena. 	neut
Ali vidio sam da postoji prilično veliki tim za vizualne efekte, što je bilo razumljivo s nekim CGI-jem koji prikazuje stanje posljedica u Južnoj Koreji nakon potresa plus akcijsku sekvencu.	neut
Btw, akcija je bila brza, brutalna i dosta grafika.	poz
Mislim da je redatelj Heo Myung-haeng (u svom redateljskom debiju) želio naglasiti nemilosrdnost borbi.	neut
Njegov stil režije u tim akcijskim scenama bio je pomno praćenje ljudi i prebacivanje na drugu kameru kada je to bilo potrebno, ali nije koristio nikakve usporene efekte u određenim scenama.	neut
To je sigurno učinilo da osjećamo da su borbe vrlo brze i intenzivne.	neut
Sve u svemu, ovo bi mogao biti inferioran nastavak za ljude koji su očekivali istu vrstu drame, intenziteta i dubine likova, ali bi definitivno bio vrlo ugodan za ljubitelje akcije poput mene. 	mix
Dakle, ako vam se sviđaju stilovi borbe Ma Dong-seoka, ovo bi vas zabavilo jer je pokazao sve prave poteze, ali ako očekujete tešku dramu onda je ovdje nećete pronaći.	mix
Nakon što sam pogledao ovaj film, isprva sam bio prilično iznenađen prilično mračnim tonom.	mix
li naknadno kada se Thor pojavio s Čuvarima galaksije, onda se to drastično promijenilo u vrlo lagano i puno komičnih trenutaka.	poz
Moja djevojka i ja, zajedno s publikom, nastavili smo se puno puta smijati tijekom filma zbog urnebesnih okolnosti koje proizlaze iz raznih situacija.	poz
Jedna posebno smiješna stvar bila je u vezi s kozama koje su uvijek jako nasmijavale.	poz
Osim zabavnih trenutaka, film je također imao lijepu akcijsku sekvencu, očito potpomognutu sjajnim specijalnim efektima, uključujući prekrasan CGI koji je izgledao jako dobro. 	poz
Svidio mi se prizor u Kraljevstvu sjena koji je djelovao prilično elegantno (znat ćete na što sam mislio ako ste ga vidjeli).	poz
Učinci šminke također su bili nevjerojatni.	poz
I naravno, zvučni efekti također su ga učinili ugodnijim. 	poz
Poznata glumačka postava bila je dobra kao i obično, a neki su imali više vremena ispred ekrana od ostalih.	poz
Osim imena koja sam gore spomenuo, također smo dobili vrlo kratko pojavljivanje ljudi iz originalne trilogije Thor kao što su Jaimie Alexander, Kat Dennings i Stellan Skarsgård kao Sif, Darcy i Eric redom plus nekoliko epizodnih uloga poznatih imena.	neut
Jedna od glavnih zvijezda bio je Russel Crowe (verzija Mumija iz 2017., The Insider itd.) kojeg nisam mogao prepoznati. 	neut
Onaj koji je stvarno privukao našu pozornost je definitivno Christian Bale koji je bio jednostavno nevjerojatan. 	poz
Još jednom se pokazalo da je doista izvanredan glumac.	poz
Ovo je također donijelo malo svježeg zraka u MCU jer su obično negativci bili prilično izravni negativci, za razliku od Gorra koji je bio kompleksniji.	poz
Ovaj film je režirao Taika Waititi koji je također unio svježinu kada je to učinio tijekom Thora: Ragnarok. 	poz
Iako u usporedbi s onim, ovaj nije baš dobro primljen od strane kritičara.	neg
Bez obzira na to, prilično je siguran da će film definitivno ponovno oboriti neke komercijalne rekorde s obožavateljima Marvelovog kinematografskog svemira koji će i dalje ići u kino gledati ovo. 	poz
Za razliku od 2. Doctor Strange filma, ovaj nije imao mnogo iznenađujućih likova iz Marvelovih stripova, pa bi mogao biti manje zadovoljavajući za ljude koji samo žele saznati više o njemu. 	neg
Btw, film traje oko 2 sata s 1 scenom na sredini odjavne špice koja je bila zanimljiva i 1 scenom na kraju odjavne špice koja je završila osobno iznenađujućim posljednjim riječima prikazanim na ekranu.	neut
Sve u svemu, ovo je bio zabavan film za mene, a vjerujem i za većinu publike.	poz
Toliko smo se smijali tijekom filma i volimo interakciju između Thora i Jane, a svidio nam se i Krogg koji je također pružio mnogo zabavnih trenutaka. 	poz
Bilo je i puno poznatih pjesama (konkretno od Guns N’ Rosesa koje bi se svidjele publici koja voli njihove pjesme) koje su puštene nekoliko puta u pozadini.	poz
Sviđa mi se i završetak filma jer nije bio klišej.	poz
I sam sam jako uživao u ovom filmu zbog zabavnog elementa, iako možda nije spektakularan film o superherojima.	mix
Zbog čega sam osjetio da je ovo više komedija o filmu o superjunaku, a ne o filmu o superjunaku s malo komedije.	neut
Dakle, ako vam odgovara puno komičnih trenutaka u filmu o superherojima, onda bi vam se svidio ovaj. 	poz
Ali ako preferirate veću akciju, ovo bi vam se moglo činiti pomalo nedostatnim.	neg
Iz trailera koji sam vidio, ovaj film nije baš dao auru visokokvalitetnog akcijskog tipa, ali je dao atmosferu Umri muški jer je izgledalo da se vojska jedne žene bori protiv grupe loših momaka u zatvorenom prostoru.	mix
Međutim, nakon što sam ga počeo gledati, odmah sam osjetio kako je dao snažan osjećaj B filma. 	neut
Bilo je još gore kada su likovi predstavljeni jer se činilo da većina nema iskustva u glumi.	neg
Iako su ovdje samo dvije glavne uloge, ali ako sporedna nije bila uvjerljiva, to je otežalo uživanje u filmu.	neg
Srećom, Luke Bracey me je impresionirao jer je bio prilično dobar u portretiranju šarmantnog, ali nemilosrdnog zlikovca, dok se Elsa Pataky osjećala bolje kada je glumila Elenu Neves u tim Fast & Furious filmovima.	poz
Jedina druga glumačka postava koja je barem bolje izvela bila je Mayen Mehta kao kaplar Shah.	poz
Ostalo je bilo potpuno zaboravljivo. 	neg
Dobra stvar je ipak, akcija je bila prilično dobra. 	poz
Možda nisu bili spektakularni, ali borbe su bile prilično dobro izvedene. 	mix
 Ponekad sam osjećao da Elsa Pataky ima iskustvo kao UFC borac.	poz
Najbolje su mi bile one u kojima se borila protiv jedinog ženskog negativca (nisam siguran kako se zove) plus stvarno velikog tipa. 	poz
Bili su bolji od finalne borbe koja mi se činila antiklimaksom. 	neg
Oh, također sam bio prilično iznenađen što je ovdje bilo nekoliko prilično slikovitih nasilnih scena.	mix
Specijalni efekti definitivno nisu bili vrhunac ovog filma jer je CGI bio prilično očit.	neg
A možete zaboraviti i na priču.	neg
Činilo se da su pisci dodali malo drame uz malu mračnu pozadinu priče glavnog junaka.	neut
Ali kako ionako nisam puno očekivao, nisam bio toliko razočaran.	mix
Ono što ipak nisam očekivao je kad sam vidio cameo slavne zvijezde, iako ako malo pročitate Netflixov sinopsis filma, njegovo ime je spomenuto kao izvršni producent.	neut
Zabavna činjenica (hint): on je muž Else Pataky.	neut
Ovaj film traje samo 98 minuta, što je bilo u redu jer bi predugo samo bilo teško.	poz
Također ima kratku zabavnu kreditnu scenu.	poz
Režirao ga je Matthew Reilly u svom redateljskom debiju.	neut
Reilly je bio poznat po pisanju akcijskih trilera, a ovaj je film napisao zajedno s iskusnijim Stuartom Beattiejem (scenarista Collaterala, Pirates of the Carribbean: The Curse of the Black Pearl itd.). 	neut
Šteta što ovo nije najbolji početak Reillyjeve karijere što se može vidjeti po niskoj gledanosti filma čak i prema standardu publike.	neg
Sve u svemu, Presretac je film koji je u najboljem slučaju osrednji akcijski triler.	neg
Obično sam utjehu mogao pronaći u radnjama na loše napisanom akcijskom filmu, ali čak i ako nisu bili loši, nisu bili ni izuzetni. 	mix
Uz neuvjerljivu glumu sporedne glumačke ekipe, ovaj film za mene nije bio nezaboravan. 	neg
